Date,000001.SS,^BVSP,^FTSE,^GSPC,^GSPTSE,^HSI,^IBEX,^N225,^STOXX50E
2024-02-01,2770.739990234375,128481.0,7622.2001953125,4906.18994140625,21119.19921875,15566.2099609375,10014.0,36011.4609375,4638.60009765625
2024-02-02,2730.152099609375,127182.0,7615.5,4958.60986328125,21085.099609375,15533.5595703125,10062.5,36158.01953125,4654.5498046875
2024-02-05,2702.18505859375,127593.0,7612.89990234375,4942.81005859375,20871.900390625,15510.009765625,9941.2998046875,36354.16015625,4655.27001953125
2024-02-06,2789.486083984375,130416.0,7681.0,4954.22998046875,20957.69921875,16136.8701171875,10003.0,36160.66015625,4690.8701171875
2024-02-07,2829.696044921875,129608.0,7628.7998046875,4995.06005859375,20969.19921875,16081.8896484375,9920.2001953125,36119.921875,4678.85009765625
2024-02-08,2865.903076171875,128217.0,7595.5,4997.91015625,20919.599609375,15878.0703125,9905.400390625,36863.28125,4710.77978515625
2024-02-20,2922.72998046875,129916.0,7719.2001953125,4975.509765625,21217.5,16247.509765625,10038.2001953125,38363.609375,4760.27978515625
2024-02-21,2950.9560546875,130032.0,7662.5,4981.7998046875,21172.400390625,16503.099609375,10107.2001953125,38262.16015625,4775.31005859375
2024-02-22,2988.35791015625,130241.0,7684.5,5087.02978515625,21318.099609375,16742.94921875,10138.900390625,39098.6796875,4855.35986328125
2024-02-26,2977.02197265625,129609.0,7684.2998046875,5069.52978515625,21324.30078125,16634.740234375,10138.400390625,39233.7109375,4864.2900390625
2024-02-27,3015.48095703125,131689.0,7683.0,5078.18017578125,21318.900390625,16790.80078125,10113.7998046875,39239.51953125,4885.740234375
2024-02-28,2957.85205078125,130155.0,7625.0,5069.759765625,21243.80078125,16536.849609375,10068.599609375,39208.03125,4883.77001953125
2024-02-29,3015.1708984375,129020.0,7630.0,5096.27001953125,21363.599609375,16511.439453125,10001.2998046875,39166.19140625,4877.77001953125
2024-03-01,3027.02001953125,129180.0,7682.5,5137.080078125,21552.400390625,16589.439453125,10064.7001953125,39910.8203125,4894.85986328125
2024-03-04,3039.305908203125,128341.0,7640.2998046875,5130.9501953125,21531.099609375,16595.970703125,10069.7998046875,40109.23046875,4912.919921875
